parameter,NSE_span,KGE_span,sensitivity_score
CS,0.07560987222192306,0.07874055708194283,0.07717521465193294
K,0.06081043113548357,0.08147621996755472,0.07114332555151914
FC,0.059775455383166864,0.07294697117557614,0.0663612132793715
CG,0.035331041747192704,0.08443772161811935,0.05988438168265603
B,0.012682850746066898,0.009462855434308248,0.011072853090187573
WM,0.007519167051435183,0.006026530228289695,0.006772848639862439
WUM,0.0029784206884233555,0.0037857783895854924,0.003382099539004424
WLM,0.002354869708471208,0.0032631591803959914,0.0028090144444335996
C,5.327903468965722e-06,2.5215778212128725e-06,3.9247406450892974e-06
