parameter,perturbation_pct,parameter_value,NSE_overall,KGE_overall,NSE_yearly_mean,KGE_yearly_mean
K,-30,0.42,0.7280865549408937,0.7813382588609343,0.623138046530305,0.6815827576763162
K,-20,0.48,0.7421147133604337,0.804364008527711,0.646429556507765,0.7057016197633892
K,-10,0.54,0.7547237417061251,0.824361881138178,0.6675151624724445,0.7270752660085555
K,0,0.6,0.7654897538184807,0.8405493739115064,0.6853534334304688,0.7449972300875849
K,10,0.66,0.7747738638043318,0.852586831676425,0.7005022779546837,0.7594313626309149
K,20,0.72,0.782503873261148,0.8600324287102376,0.7129462051102455,0.7703660519433421
K,30,0.78,0.7888969860763773,0.862814478828489,0.7230061734578489,0.7777884179237649
B,-30,0.21,0.7586256378829841,0.8355093954961492,0.6741928211070204,0.7379996058830127
B,-20,0.24,0.76101491555511,0.8372483623622922,0.6781648644059397,0.7404447728736407
B,-10,0.27,0.7632709696503256,0.8388927468178426,0.6819015176429739,0.7427675333436766
B,0,0.3,0.7654897538184807,0.8405493739115064,0.6853534334304688,0.7449972300875849
B,10,0.33,0.7675969378778156,0.8421315663530178,0.6886326514726832,0.7471114001338027
B,20,0.36,0.7695553377277682,0.8436170715976777,0.691692243585959,0.749108050264329
B,30,0.39,0.771308488629051,0.8449722509304575,0.6944138392764347,0.7509698733568546
C,-30,0.055999999999999994,0.7654924034653258,0.840548105154278,0.6853593672710241,0.7449936939237559
C,-20,0.064,0.7654915233955009,0.8405485298250519,0.6853573963691175,0.7449948776981478
C,-10,0.07200000000000001,0.7654906401865278,0.8405489527479538,0.6853554184371403,0.7449960564275316
C,0,0.08,0.7654897538184807,0.8405493739115064,0.6853534334304688,0.7449972300875849
C,10,0.08800000000000001,0.7654888642715156,0.8405497933042878,0.6853514413046627,0.7449983986540846
C,20,0.096,0.7654879715258689,0.8405502109149258,0.6853494420154618,0.7449995621029065
C,30,0.10400000000000001,0.7654870755618568,0.8405506267320992,0.6853474355187844,0.7450007204100236
WM,-30,84.0,0.7610862566755738,0.8372716568070961,0.6783326071622156,0.7404148196398116
WM,-20,96.0,0.7627165268178395,0.8384775729506356,0.6810196344117331,0.7421383129527583
WM,-10,108.0,0.7641920148949851,0.8395778679813439,0.6833439562279976,0.7436645252476554
WM,0,120.0,0.7654897538184807,0.8405493739115064,0.6853534334304688,0.7449972300875849
WM,10,132.0,0.7665193564837773,0.8414971724219356,0.6868481241717789,0.7463728489542283
WM,20,144.0,0.7675635394689257,0.8424065783610968,0.6884653056767267,0.7476932132978116
WM,30,156.0,0.768605423727009,0.8432981870353858,0.690118096210534,0.7489821806997814
WUM,-30,14.0,0.763535846394409,0.8381546509123021,0.6821308958611143,0.7420804356579538
WUM,-20,16.0,0.7643283240272961,0.8391190320870207,0.6834520932694594,0.7432747422011925
WUM,-10,18.0,0.764953794629024,0.8398964498134027,0.684478464740394,0.7442227065015159
WUM,0,20.0,0.7654897538184807,0.8405493739115064,0.6853534334304688,0.7449972300875849
WUM,10,22.0,0.7659157628626102,0.8411051106160536,0.6860315879158279,0.7456692602044064
WUM,20,24.0,0.7662407750925418,0.8415520026280557,0.6865409040179402,0.7461980863543763
WUM,30,26.0,0.7665142670828323,0.8419404293018876,0.6869679272270077,0.7466579323626548
WLM,-30,42.0,0.7637817338639581,0.8384837511555719,0.682488527536833,0.7424573510554228
WLM,-20,48.0,0.7645115202856183,0.8393395754868124,0.6837154001228918,0.7435094807212368
WLM,-10,54.0,0.7650601167006761,0.8400103903161191,0.684631953597889,0.7443333166298415
WLM,0,60.0,0.7654897538184807,0.8405493739115064,0.6853534334304688,0.7449972300875849
WLM,10,66.0,0.765753696998036,0.841021329436523,0.6857527777063332,0.745628278933614
WLM,20,72.0,0.7659453071360672,0.8414056847675753,0.686033437239121,0.7461379398941623
WLM,30,78.0,0.7661366035724293,0.8417469103359679,0.6863417749275017,0.7466008155052078
FC,-30,7.0,0.7304607848635638,0.8001067525630905,0.6304646877251586,0.6952856653834415
FC,-20,8.0,0.743542379775385,0.8144100357298116,0.6508683106062851,0.7126758571789095
FC,-10,9.0,0.7551373636233225,0.8278924776981985,0.669058940293729,0.7292498816083667
FC,0,10.0,0.7654897538184807,0.8405493739115064,0.6853534334304688,0.7449972300875849
FC,10,11.0,0.7747790013404066,0.8523815334279208,0.7001420707781142,0.7599507677241326
FC,20,12.0,0.7829871087532234,0.8632534075810412,0.713308561682328,0.774032342410603
FC,30,13.0,0.7902362402467307,0.8730537237386666,0.7249599899369557,0.7871875767032717
CG,-30,0.63,0.730158712071288,0.7808222429023111,0.6298004470199874,0.6712688924766349
CG,-20,0.7200000000000001,0.7463287008857414,0.7993868861935294,0.6546874145647201,0.6939140900955615
CG,-10,0.81,0.7591637596257753,0.8193901094521384,0.6746794963711357,0.7185570372302144
CG,0,0.9,0.7654897538184807,0.8405493739115064,0.6853534334304688,0.7449972300875849
CG,10,0.9900000000000001,0.7506758072877953,0.8652599645204304,0.6693512172445248,0.7797843362352896
CG,20,0.999,0.7372784819988698,0.851022742339768,0.6498063092121726,0.7505149539834287
CG,30,0.999,0.7372784819988698,0.851022742339768,0.6498063092121726,0.7505149539834287
CS,-30,0.13999999999999999,0.7216386644799658,0.7979327225939934,0.6180206848665399,0.6986057327140851
CS,-20,0.16000000000000003,0.7376517249403685,0.8126919117967849,0.6421953247610102,0.7145155164663124
CS,-10,0.18000000000000002,0.7522572476535706,0.8269209431366829,0.6646235376999983,0.7299844262514484
CS,0,0.2,0.7654897538184807,0.8405493739115064,0.6853534334304688,0.7449972300875849
CS,10,0.22000000000000003,0.7773806376278989,0.8534800215281286,0.7044288383840344,0.7595256808420962
CS,20,0.24,0.7879583467484147,0.865580482341317,0.721889514885349,0.7735240108161646
CS,30,0.26,0.7972485367018889,0.8766732796759362,0.7377713478346842,0.7869217506765513
